Id;ESP;EN
eye_revealed_2;<color=yellow>"... no hay vuelta atrás, no hay tiempo al que avanzar ni retroceder..."</color>;There's no turning back, there's no time to move forward or backward.

eye_ascended_int;Cuerpo maldito;Cursed body

eye_ascended1;No tengas miedo...;Be not afraid...
eye_ascended2;Solo necesitamos un poco más de tu esfuerzo.;We just need a little more of your efforts.
eye_ascended3;Has visto cosas, que nublan tu mente.;You have seen things that cloud your mind.
eye_ascended4;No más dolor. no más sufrimiento. No más apegos... Solo necesito más esfuerzo.;No more pain. No more suffering. No more attachments... I just need more efforts.
eye_ascended5;Una vez más cerraste todos los caminos posibles.;Once again, you closed all possible paths.
eye_ascended6;¿Por qué no empezamos una vez más?;Why don't we start again?
eye_ascended_resMsg;¿Qué decides?;What do you choose?
eye_ascended_yes1;Así debe ser... solo cierra los ojos.;That's how it should be... just close your eyes.
eye_ascended_yes2;Oh... ya casi va a germinar. No tengas miedo de lo que pasará.;Oh... it's about to evolve. Don't be afraid of what will happen.
eye_ascended_no1;Oh claro, la negación se vuelve a presentar. Qué futilidad.;Oh, of course, denial presents itself again. How futile.
eye_ascended_no2;Ya tengo suficiente poder para pronunciar palabra, ya puedo pensar en el mismo plano que habitas. Sin embargo...;I already have enough power to speak word, to think on the same plane you inhabit. Yet...
eye_ascended_after;...;...

note;Nota extraña;Strange note
note_a;Alguien dejó algunas notas, no parecen tener nada escrito.;Someone left some notes, they don't seem to have anything written on them.
note_b;Hay una nota con un mensaje:;There's a note with a message:
note_c;¿Recoger nota?;Keep the note?

note1;<color=yellow>"Ven a verme en la última celda de la prisión, necesito contarte algo."</color>;<color=yellow>"Come to see me in the last cell of the prison, I need to tell you something."</color>
note2;<color=yellow>"Estamos atrapados, no hay salida. Necesito ver mi reflejo para recordar mi rostro."</color>; <color=yellow>"We're trapped, there's no way out. I need to see my reflection to remember my face."</color>
note3;<color=yellow>"Ya no veo aquellos fantasmas revoloteando alrededor de mi cabeza. Pero no sé si deba tranquilizarme."</color>;<color=yellow>"I no longer see those phantasms fluttering around my head. But I don't know if I should calm down."</color>
note4;<color=yellow>"Necesito decirte mi nombre, antes de que se me olvide, pronto podría llegarl al punto de no poder recordar cuando fuimos uno."</color>;<color=yellow>"I need to tell you my name before I forget it, I might soon reach a point where I won't even be capable of remember who we are."</color>

note5;<color=yellow>"Las estatuas nos recuerdan cómo somos, también nos ayudan a transportarnos a otros lugares."</color>;<color=yellow>"Statues remind us who we were, they also help us to travel to other places."</color>;

npc;Persona extraña;Unknown person
npc1;Oh... nadie ha venido a este lugar en mucho tiempo. Es un gusto ver a alguien aquí, ¿Cómo estás?;Oh... nobody has come here in a long time. It's nice to see someone here. How are you?
npc_resMsg;¿Entregar nota?;Give note?
npc2;Ahh... recuerdo escribir esta nota. Parece que tenía algo importante que decirle a alguien.;Ahh... I remember write this note. It seems like I had something very important to tell to someone.
npc3;Lo siento, en realidad no recuerdo que quería decir, perdón por hacerte venir hasta aquí.;I'm sorry, I actually don't remember what I wanted to say. I apologize for making you come to this place.
npc4;¿A dónde piensas ir ahora?;Have you ever prayed?
npc5;(La persona que acabas de conocer yace muerta enfrente de ti en este jardín, en su mano encuentras varias notas.);(The person you just met lies dead in front of you at the garden, in their hand, you founded some notes)

exit_int;Salir a lo desconocido;Go to the unknown

ending1;Y así... vuelvo al sueño... Los veo revolotear dentro de mi cráneo. Devoran mis recuerdos, mis pensamientos, mi ser...;And so... I return to the dream... I see them fluttering inside my skull. They devour my memories, my thoughts, my being...
ending2;Debo... despertar un vez más... ¿cuántas veces faltan?;I must... wake up once more... How many times left?
ending3;<color=yellow>¿ES ESTE EL FIN?</color>;<color=yellow>IS THIS THE END?</color>
